May 20 11:51:56 localhost app-12: [PolicyManagerApp] <> INFO  Loading Settings...
May 20 11:51:56 localhost app-12: [AppBase] <> INFO  Starting   policy-manager [12] ...
May 20 11:51:56 localhost app-12: [AppBase] <> INFO  Started    policy-manager [12] ...
May 20 13:43:09 localhost app-12: [AppBase] <> INFO  Stopping   policy-manager [12] ...
May 20 13:43:09 localhost app-12: [AppBase] <> INFO  Stopped    policy-manager [12] ...
May 20 13:43:14 localhost app-12: [PolicyManagerApp] <> INFO  Loading Settings...
May 20 13:43:14 localhost app-12: [AppBase] <> INFO  Starting   policy-manager [12] ...
May 20 13:43:14 localhost app-12: [AppBase] <> INFO  Started    policy-manager [12] ...
May 20 13:45:13 localhost app-12: [AppBase] <> INFO  Stopping   policy-manager [12] ...
May 20 13:45:13 localhost app-12: [AppBase] <> INFO  Stopped    policy-manager [12] ...
May 21 09:41:28 localhost app-12: [WireGuardVpnApp] <> INFO  Initializing Settings...
May 21 09:41:28 localhost app-12: [WireGuardVpnApp] <> INFO  Creating the default settings...
May 21 09:41:28 localhost app-12: [WireGuardVpnApp] <> WARN  192.168.252.60
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  Stopping WireGuard interface and tunnels
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: wg-quick: `wg0' is not a WireGuard interface
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> ERROR Failed calling WireGuard start script (return code: 1)
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  Starting WireGuard interface and tunnels
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link add wg0 type wireguard
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] wg setconf wg0 /dev/fd/63
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip -4 address add 192.168.64.1 dev wg0
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link set mtu 1500 up dev wg0
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnApp] <> INFO  Loading Settings...
May 21 09:41:30 localhost app-12: [AppBase] <> INFO  Starting   wireguard-vpn [12] ...
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  Starting WireGuard interface and tunnels
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: wg-quick: `wg0' already exists
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> ERROR Failed calling WireGuard start script (return code: 1)
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:41:30 localhost app-12: [AppBase] <> INFO  Started    wireguard-vpn [12] ...
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  Stopping WireGuard interface and tunnels
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link delete dev wg0
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  Starting WireGuard interface and tunnels
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link add wg0 type wireguard
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] wg setconf wg0 /dev/fd/63
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip -4 address add 192.168.64.1 dev wg0
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link set mtu 1500 up dev wg0
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip -4 route add 192.168.64.3/32 dev wg0
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:42:24 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:44:02 localhost app-12: [AppBase] <> INFO  Stopping   wireguard-vpn [12] ...
May 21 09:44:02 localhost app-12: [WireGuardVpnMonitor] <> INFO  WireGuardVpn monitor was interrupted
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  Stopping WireGuard interface and tunnels
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: 
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  /usr/bin/wg-quick: [#] ip link delete dev wg0
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:44:02 localhost app-12: [WireGuardVpnManager] <> INFO  /etc/untangle/iptables-rules.d/720-wireguard-vpn: 
May 21 09:44:02 localhost app-12: [AppBase] <> INFO  Stopped    wireguard-vpn [12] ...
May 21 09:44:02 localhost app-12: [AppBase] <> INFO  Destroying wireguard-vpn [12] ...
May 21 09:44:02 localhost app-12: [AppBase] <> INFO  Destroyed  wireguard-vpn [12] ...
Aug  6 09:57:56 localhost app-12: [ReportsApp] <> INFO  Loading Settings...
Aug  6 09:57:56 localhost app-12: [ReportsManagerImpl] <> INFO  Creating Schema: 
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Login Failure User Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-login-failure.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Active Users" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/top-active-users.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Idle Timeout User Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/captive-portal-idle-timeout.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Activity Summary" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/captive-portal/reports/event-summary.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "All Spam Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/spam-blocker-lite-all-spam-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (all)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/email-usage-all.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Spam Ratio" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/spam-ratio.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (spam)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/email-usage-spam.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (clean)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/email-usage-clean.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Spam Blocker Lite Summary" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/summary.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Quarantined Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/spam-blocker-lite-quarantined-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Spam Sender Addresses" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/top-spam-sender-hosts.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "All Email Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/spam-blocker-lite-all-email-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Tarpit Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/spam-blocker-lite-tarpit-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Spam Recipients" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/top-spam-receivers.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (scanned)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/spam-blocker-lite/reports/email-usage-scanned.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Tunnel Traffic Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/wireguard-vpn/reports/wireguardvpn-statistics.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "WireGuard VPN Summary" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/wireguard-vpn/reports/summary.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "WireGuard VPN Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/wireguard-vpn/reports/wireguardvpn-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Connection Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/wireguard-vpn/reports/wireguardvpn-connect-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Top Remote Clients (by usage)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/wireguard-vpn/reports/top-traffic-by-endpoint.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "WireGuard VPN Bandwidth Usage" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/wireguard-vpn/reports/bandwidth-usage.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Web Usage (scanned)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/web-usage-scanned.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Top Blocked Sites" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/top-email-servers.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Infected Email Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/virus-blocker-lite-infected-email-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Web Top Scanned Sites" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/top-web-scanned.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Scanned Web Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/virus-blocker-lite-scanned-web-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Top Blocked Clients" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/top-email-clients.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Scanned Ftp Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/virus-blocker-lite-scanned-ftp-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Web Top Blocked Viruses" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/top-web-virus.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Email Usage (all)" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/email-usage-all.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Scanned Email Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/virus-blocker-lite-scanned-email-events.json]
Aug  6 09:57:57 localhost app-12: [ReportsManagerImpl] <> INFO  Report Entries Update: Adding  "Clean Email Events" [/root/development/github/ngfw_src/dist/usr/share/untangle/lib/virus-blocker-lite/reports/virus-blocker-lite-clean-email-events.json]
